RAPORT STATISTICI SI SCORURI
Obiect: PCB4 | Algoritm: PaDiM
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb4/test/good
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    13.1709113525
MAX SCOR:    36.1664635006
MEDIE SCOR:  20.0745174874
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
0909.JPG -> 21.2861179774
0910.JPG -> 16.3420399087
0911.JPG -> 30.0497854260
0912.JPG -> 13.1709113525
0913.JPG -> 21.3090490016
0914.JPG -> 15.4179854568
0915.JPG -> 16.3937700621
0916.JPG -> 13.4826517528
0917.JPG -> 13.2448109151
0918.JPG -> 20.3116194610
0919.JPG -> 14.9365130792
0920.JPG -> 18.7049124340
0921.JPG -> 22.1310167469
0922.JPG -> 18.8922013905
0923.JPG -> 19.7914875240
0924.JPG -> 20.6219063139
0925.JPG -> 19.6388375449
0926.JPG -> 20.8494512581
0927.JPG -> 16.5173952574
0928.JPG -> 20.1321614013
0929.JPG -> 16.4179068360
0930.JPG -> 14.0809835040
0931.JPG -> 15.9621813112
0932.JPG -> 25.2871683853
0933.JPG -> 14.7462868595
0934.JPG -> 20.8621999262
0935.JPG -> 13.9964685802
0936.JPG -> 17.8741310543
0937.JPG -> 35.5451408619
0938.JPG -> 18.7515099901
0939.JPG -> 24.5236309377
0940.JPG -> 15.0880875971
0941.JPG -> 14.7102982936
0942.JPG -> 19.0726346546
0943.JPG -> 17.0548460954
0944.JPG -> 16.6122392950
0945.JPG -> 19.5423580200
0946.JPG -> 26.0264506613
0947.JPG -> 19.2013713843
0948.JPG -> 19.8308312016
0949.JPG -> 19.7409896922
0950.JPG -> 21.9433085317
0951.JPG -> 14.9290669698
0952.JPG -> 19.3981542756
0953.JPG -> 20.7431318280
0954.JPG -> 18.3899558385
0955.JPG -> 20.4373162094
0956.JPG -> 16.9292206758
0957.JPG -> 21.9521318250
0958.JPG -> 25.4405019989
0959.JPG -> 22.5989158262
0960.JPG -> 20.6668681463
0961.JPG -> 21.4715518412
0962.JPG -> 19.1928374461
0963.JPG -> 23.0643726506
0964.JPG -> 28.5607839246
0965.JPG -> 21.0639322899
0966.JPG -> 14.4972454250
0967.JPG -> 14.9609054135
0968.JPG -> 14.5114458361
0969.JPG -> 24.4129667325
0970.JPG -> 20.0728458852
0971.JPG -> 15.6816174269
0972.JPG -> 20.2204330176
0973.JPG -> 16.3642665905
0974.JPG -> 28.3011184784
0975.JPG -> 21.7065372812
0976.JPG -> 28.5631422238
0977.JPG -> 19.5774678470
0978.JPG -> 16.9556915752
0979.JPG -> 35.5421259864
0980.JPG -> 19.8722452765
0981.JPG -> 21.1305015885
0982.JPG -> 17.1705340491
0983.JPG -> 15.3768591121
0984.JPG -> 25.8248161440
0985.JPG -> 28.3621390154
0986.JPG -> 22.9087290542
0987.JPG -> 18.0684801532
0988.JPG -> 25.8177971476
0989.JPG -> 18.3046236974
0990.JPG -> 24.1588506955
0991.JPG -> 14.8586567651
0992.JPG -> 20.1502489110
0993.JPG -> 19.1562151202
0994.JPG -> 17.5919329204
0995.JPG -> 22.4888194150
0996.JPG -> 36.1664635006
0997.JPG -> 24.6882019832
0998.JPG -> 17.9765201167
0999.JPG -> 17.1471454479
1000.JPG -> 17.5567269096
1001.JPG -> 19.0446031363
1002.JPG -> 25.8528020718
1003.JPG -> 21.9165228377
1004.JPG -> 18.8077269699
0905.JPG -> 22.0009061381
0906.JPG -> 14.5892269712
0907.JPG -> 19.1624158812
0908.JPG -> 14.9988383082
------------------------------------------------------------
