RAPORT STATISTICI SI SCORURI
Obiect: PCB2 | Algoritm: PatchCore
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb2/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    -1.2061727239
MAX SCOR:    18.2738615372
MEDIE SCOR:  2.3290953948
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
001.JPG -> 3.1246751880
098.JPG -> 1.0113682549
089.JPG -> 2.1378500845
010.JPG -> 1.1158052713
045.JPG -> 0.1921869681
081.JPG -> 2.1433788928
009.JPG -> 1.7216385931
063.JPG -> -0.1064944656
027.JPG -> 0.5856057042
054.JPG -> 4.5230377388
090.JPG -> 0.7388400285
018.JPG -> 16.0889016485
072.JPG -> -0.5747750959
036.JPG -> 0.3189907871
041.JPG -> 16.9842226875
005.JPG -> 0.6953714170
023.JPG -> 2.3378777381
050.JPG -> 0.8505568331
014.JPG -> 2.2533718756
032.JPG -> 0.4855482816
049.JPG -> 2.1332160626
085.JPG -> 1.4303841729
067.JPG -> 1.7269787244
058.JPG -> 3.5540955000
094.JPG -> 2.8222459428
076.JPG -> 1.8115617730
003.JPG -> 2.4721428755
021.JPG -> 1.4343978476
012.JPG -> 2.6705896444
030.JPG -> 3.0618343068
047.JPG -> 17.8715706931
083.JPG -> 2.2820493526
065.JPG -> 0.4743605922
029.JPG -> 1.3272621781
056.JPG -> 1.7909602439
092.JPG -> 2.3986288785
074.JPG -> 1.4921716075
038.JPG -> 1.9204998797
043.JPG -> 3.3487262857
007.JPG -> 3.6116191199
061.JPG -> 2.8015972445
025.JPG -> 0.6496787036
052.JPG -> 2.6702108610
016.JPG -> 4.8036276194
070.JPG -> 1.4022169814
034.JPG -> 2.4429250961
087.JPG -> 1.6548855225
069.JPG -> 0.1143505522
096.JPG -> 1.6195185876
078.JPG -> 0.6072592505
002.JPG -> 4.2417374606
020.JPG -> 2.5272865921
099.JPG -> 1.7946823269
011.JPG -> 1.1200590804
082.JPG -> 2.7596737833
046.JPG -> 18.2738615372
028.JPG -> 1.7162198463
064.JPG -> 1.9355139962
019.JPG -> 1.0971948566
091.JPG -> 1.2250206761
055.JPG -> 0.5771281029
037.JPG -> 0.4857684048
073.JPG -> 0.1238558715
006.JPG -> 4.0192129315
042.JPG -> 0.2576664688
024.JPG -> 1.3246249880
060.JPG -> 0.1007572308
015.JPG -> 0.3612001225
051.JPG -> 0.7231684013
033.JPG -> 1.5834012328
086.JPG -> 2.8999494272
068.JPG -> 0.5499300251
095.JPG -> 2.3721540627
059.JPG -> 1.8497174113
077.JPG -> 0.8455097230
004.JPG -> 2.9784590770
040.JPG -> 16.7215013778
022.JPG -> -1.2061727239
013.JPG -> 3.4471213494
031.JPG -> 0.2772517148
084.JPG -> 2.2410749940
048.JPG -> 1.3298107472
066.JPG -> -0.3325266718
093.JPG -> -0.0945534974
057.JPG -> 1.7376118177
039.JPG -> 1.6577356889
075.JPG -> 1.9444447082
080.JPG -> -0.6998236469
008.JPG -> 2.5452394961
044.JPG -> 1.8394688188
026.JPG -> 2.6187163294
062.JPG -> 0.0357465638
017.JPG -> 0.5813619007
053.JPG -> 0.6372774779
035.JPG -> 0.1669771459
071.JPG -> 2.2988130196
088.JPG -> 0.1023524092
097.JPG -> 0.6911962233
000.JPG -> 0.3319065864
079.JPG -> 1.2637294811
------------------------------------------------------------
