RAPORT STATISTICI SI SCORURI
Obiect: PCB3 | Algoritm: Autoencoder
Folder procesat: E:/Facultate/code/Licenta/Aplicatie/dataset/pcb3/test/Anomaly
------------------------------------------------------------
NR. IMAGINI: 100
MIN SCOR:    0.0011450180
MAX SCOR:    0.0172972213
MEDIE SCOR:  0.0028277562
------------------------------------------------------------
LISTA SCORURI INDIVIDUALE:
001.JPG -> 0.0038374297
098.JPG -> 0.0013186745
089.JPG -> 0.0011888333
010.JPG -> 0.0056941821
045.JPG -> 0.0019547192
081.JPG -> 0.0015013190
009.JPG -> 0.0045520137
063.JPG -> 0.0016083855
027.JPG -> 0.0015418297
054.JPG -> 0.0153435050
090.JPG -> 0.0016352199
018.JPG -> 0.0019750376
072.JPG -> 0.0018630298
036.JPG -> 0.0014882794
041.JPG -> 0.0020496983
005.JPG -> 0.0044559287
023.JPG -> 0.0022230591
050.JPG -> 0.0019810495
014.JPG -> 0.0028669224
032.JPG -> 0.0015266200
049.JPG -> 0.0017181332
085.JPG -> 0.0015004533
067.JPG -> 0.0017974954
058.JPG -> 0.0038813520
094.JPG -> 0.0014183860
076.JPG -> 0.0017057608
003.JPG -> 0.0023202440
021.JPG -> 0.0020296201
012.JPG -> 0.0065448061
030.JPG -> 0.0015620992
047.JPG -> 0.0030712476
083.JPG -> 0.0015065991
065.JPG -> 0.0014970379
029.JPG -> 0.0025928468
056.JPG -> 0.0017412988
092.JPG -> 0.0015329039
074.JPG -> 0.0020152717
038.JPG -> 0.0016218488
043.JPG -> 0.0129146082
007.JPG -> 0.0023406490
061.JPG -> 0.0012382650
025.JPG -> 0.0018476786
052.JPG -> 0.0046813465
016.JPG -> 0.0014836591
070.JPG -> 0.0016366979
034.JPG -> 0.0016378092
087.JPG -> 0.0015208640
069.JPG -> 0.0020868042
096.JPG -> 0.0015580184
078.JPG -> 0.0031512592
002.JPG -> 0.0014974053
020.JPG -> 0.0014877638
099.JPG -> 0.0172972213
011.JPG -> 0.0078503452
082.JPG -> 0.0018404657
046.JPG -> 0.0023277374
028.JPG -> 0.0021091602
064.JPG -> 0.0016854841
019.JPG -> 0.0038728321
091.JPG -> 0.0014518795
055.JPG -> 0.0027131718
037.JPG -> 0.0012852696
073.JPG -> 0.0017344216
006.JPG -> 0.0015720257
042.JPG -> 0.0014776923
024.JPG -> 0.0015520303
060.JPG -> 0.0013366233
015.JPG -> 0.0012901593
051.JPG -> 0.0042287866
033.JPG -> 0.0012388049
086.JPG -> 0.0031220028
068.JPG -> 0.0018805433
095.JPG -> 0.0014600217
059.JPG -> 0.0054367105
077.JPG -> 0.0029895098
004.JPG -> 0.0039077550
040.JPG -> 0.0022936342
022.JPG -> 0.0015609231
013.JPG -> 0.0083642257
031.JPG -> 0.0011450180
084.JPG -> 0.0012123324
048.JPG -> 0.0041476972
066.JPG -> 0.0025745463
093.JPG -> 0.0018466604
057.JPG -> 0.0023919474
039.JPG -> 0.0015134306
075.JPG -> 0.0014244458
080.JPG -> 0.0026563550
008.JPG -> 0.0045978129
044.JPG -> 0.0018903476
026.JPG -> 0.0014363062
062.JPG -> 0.0016791492
017.JPG -> 0.0015605980
053.JPG -> 0.0154653825
035.JPG -> 0.0014701210
071.JPG -> 0.0018161323
088.JPG -> 0.0012760083
097.JPG -> 0.0011509833
000.JPG -> 0.0021270225
079.JPG -> 0.0017679129
------------------------------------------------------------
